record_no,iso_code,country,population,year,co2,co2_per_capita,co2_per_gdp,co2_growth_prct,consumption_co2,consumption_co2_per_capita,share_global_co2
90,AZE,Azerbaijan,8724000.0,2007,30.458,3.491,0.376,-22.119,31.193,3.576,0.097
91,AZE,Azerbaijan,8822000.0,2008,35.451,4.018,0.397,16.39,35.109,3.98,0.111
92,AZE,Azerbaijan,8924000.0,2009,31.857,3.57,0.333,-10.138,31.492,3.529,0.101
93,AZE,Azerbaijan,9032000.0,2010,30.633000000000006,3.392,0.266,-3.841,30.105,3.333,0.092
94,AZE,Azerbaijan,9146000.0,2011,32.976,3.605,0.226,7.648,32.525,3.556,0.096
95,AZE,Azerbaijan,9265000.0,2012,35.048,3.783,0.234,6.285,35.61400000000001,3.844,0.101
96,BHS,Bahamas,337000.0,2007,1.795,5.327000000000001,,1.031,,,0.006
97,BHS,Bahamas,344000.0,2008,2.36,6.859,,31.429,,,0.006999999999999999
98,BHS,Bahamas,350000.0,2009,1.608,4.596,,-31.832,,,0.005
99,BHS,Bahamas,355000.0,2010,2.389,6.729,,48.519,,,0.006999999999999999
100,BHS,Bahamas,360000.0,2011,1.803,5.007,,-24.54,,,0.005
101,BHS,Bahamas,364000.0,2012,1.909,5.244,,5.894,,,0.005
102,BHR,Bahrain,1036000.0,2007,26.77,25.84,0.665,37.847,14.797,14.283,0.086
103,BHR,Bahrain,1115000.0,2008,29.682,26.621,0.562,10.879,16.703,14.98,0.093
104,BHR,Bahrain,1185000.0,2009,28.098000000000006,23.711,0.644,-5.34,18.423,15.547,0.08900000000000001
105,BHR,Bahrain,1241000.0,2010,29.075,23.429,0.616,3.478,19.37,15.608,0.08800000000000001
106,BHR,Bahrain,1278000.0,2011,28.637,22.407,0.597,-1.507,14.377,11.25,0.084
107,BHR,Bahrain,1300000.0,2012,27.328000000000007,21.021,0.503,-4.5710000000000015,12.529000000000002,9.638,0.079
108,BGD,Bangladesh,142660000.0,2007,42.642,0.299,0.158,2.286,55.95,0.392,0.136
109,BGD,Bangladesh,144304000.0,2008,45.301,0.314,0.151,6.235,57.07100000000001,0.395,0.142
110,BGD,Bangladesh,145924992.0,2009,49.148,0.337,0.151,8.493,62.011,0.425,0.156
111,BGD,Bangladesh,147575008.0,2010,53.992,0.366,0.145,9.855,70.331,0.477,0.163
112,BGD,Bangladesh,149272992.0,2011,56.556,0.379,0.131,4.75,75.013,0.503,0.165
113,BGD,Bangladesh,151006000.0,2012,60.691,0.402,0.14300000000000002,7.311,78.042,0.517,0.175
114,BRB,Barbados,279000.0,2007,1.3630000000000002,4.885,0.266,1.4880000000000002,,,0.004
115,BRB,Barbados,280000.0,2008,1.612,5.757999999999999,0.338,18.307,,,0.005
