record_no,iso_code,geo_reg,year,population,gdp,co2,co2_growth_prct,co2_growth_abs,consumption_co2,trade_co2,trade_co2_share,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita
931,COG,Congo,2011,4395000,25726625792.0,2.241,14.222,0.279,0.0,0.0,0.0,0.51,0.0,0.006999999999999999,48.485,0.087,0.0,0.028,0.0,0.0,0.282,1.931,0.0,0.006,0.0,0.0,0.064,0.439
932,COG,Congo,2012,4510000,24299880448.0,2.943,31.335,0.7020000000000001,0.0,0.0,0.0,0.653,0.0,0.008,51.429,0.121,0.0,0.056,0.0,0.0,0.407,2.48,0.0,0.012,0.0,0.0,0.09,0.55
947,COK,Cook Islands,2007,19000,0.0,0.048,0.0,0.0,0.0,0.0,0.0,2.507,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,2.507
948,COK,Cook Islands,2008,19000,0.0,0.048,0.0,0.0,0.0,0.0,0.0,2.507,0.0,0.0,1.308,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,2.507
949,COK,Cook Islands,2009,19000,0.0,0.044,-7.692,-0.004,0.0,0.0,0.0,2.314,0.0,0.0,1.352,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,2.314
950,COK,Cook Islands,2010,18000,0.0,0.051,16.667,0.006999999999999999,0.0,0.0,0.0,2.85,0.0,0.0,1.403,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,2.85
951,COK,Cook Islands,2011,18000,0.0,0.059,14.286,0.006999999999999999,0.0,0.0,0.0,3.257,0.0,0.0,1.462,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,3.257
952,COK,Cook Islands,2012,18000,0.0,0.062,6.25,0.004,0.0,0.0,0.0,3.46,0.0,0.0,1.524,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,3.46
967,CRI,Costa Rica,2007,4405000,47364378624.0,7.961,13.642,0.956,13.035,5.073,63.724,1.807,2.959,0.025,153.295,0.168,0.275,0.923,0.059,0.0,0.0,6.98,0.0,0.209,0.013,0.0,0.0,1.585
968,CRI,Costa Rica,2008,4463000,50109009920.0,7.991,0.374,0.03,13.339,5.348,66.925,1.791,2.989,0.025,161.286,0.159,0.266,0.835,0.004,0.0,0.0,7.152,0.0,0.187,0.001,0.0,0.0,1.6030000000000002
969,CRI,Costa Rica,2009,4521000,52501508096.0,7.749,-3.031,-0.242,11.354,3.605,46.528,1.714,2.511,0.025,169.035,0.14800000000000002,0.21600000000000005,0.831,0.011,0.0,0.0,6.907,0.0,0.184,0.002,0.0,0.0,1.528
970,CRI,Costa Rica,2010,4577000,54214258688.0,7.494,-3.293,-0.255,12.374,4.88,65.128,1.6369999999999998,2.704,0.023,176.52900000000002,0.138,0.228,0.503,0.004,0.0,0.0,6.987,0.0,0.11,0.001,0.0,0.0,1.527
971,CRI,Costa Rica,2011,4633000,56661012480.0,7.309,-2.46,-0.184,13.556,6.246,85.45700000000002,1.578,2.926,0.021,183.838,0.129,0.239,0.546,0.026,0.0,0.0,6.738,0.0,0.118,0.006,0.0,0.0,1.454
972,CRI,Costa Rica,2012,4688000,57546874880.0,7.258999999999999,-0.69,-0.05,13.942,6.684,92.074,1.548,2.974,0.021,191.097,0.126,0.242,0.5429999999999999,0.011,0.0,0.0,6.705,0.0,0.116,0.002,0.0,0.0,1.43
987,CIV,Cote d'Ivoire,2007,19171000,41409458176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
988,CIV,Cote d'Ivoire,2008,19606000,44698701824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
989,CIV,Cote d'Ivoire,2009,20059000,49480798208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
990,CIV,Cote d'Ivoire,2010,20533000,54921871360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
991,CIV,Cote d'Ivoire,2011,21029000,52555776000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
992,CIV,Cote d'Ivoire,2012,21547000,63485181952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1004,HRV,Croatia,2007,4362000,85629665280.0,24.844,5.586,1.314,31.297,6.454,25.976,5.6960000000000015,7.175,0.079,852.6519999999998,0.29,0.365,1.669,2.777,0.754,5.871,13.503,0.27,0.383,0.637,0.173,1.346,3.096
1005,HRV,Croatia,2008,4353000,90480205824.0,23.629,-4.891,-1.215,30.879,7.251,30.686,5.428,7.0939999999999985,0.07400000000000001,876.2810000000002,0.261,0.341,1.5730000000000002,2.849,0.662,5.693,12.529000000000002,0.32299999999999995,0.361,0.654,0.152,1.308,2.878
1006,HRV,Croatia,2009,4341000,87007707136.0,21.838,-7.579,-1.791,26.71,4.872,22.312,5.0310000000000015,6.153,0.069,898.1189999999998,0.251,0.307,1.25,2.029,0.598,5.256,12.482,0.222,0.28800000000000003,0.467,0.138,1.211,2.875
1007,HRV,Croatia,2010,4328000,83865575424.0,21.051,-3.604,-0.787,25.173,4.122,19.58,4.864,5.816,0.064,919.17,0.251,0.3,1.213,2.738,0.5660000000000001,5.7120000000000015,10.603,0.219,0.28,0.633,0.131,1.32,2.45
1008,HRV,Croatia,2011,4313000,87256449024.0,20.682,-1.75,-0.368,27.387,6.704,32.416,4.795,6.35,0.06,939.852,0.237,0.314,1.086,2.794,0.581,5.564,10.457,0.199,0.252,0.648,0.135,1.29,2.425
1009,HRV,Croatia,2012,4296000,90095968256.0,19.115,-7.58,-1.568,22.737,3.622,18.947,4.449,5.292000000000002,0.055,958.967,0.212,0.252,1.041,2.484,0.4920000000000001,5.195,9.742,0.162,0.242,0.578,0.114,1.209,2.268
1024,CUB,Cuba,2007,11251000,68174094336.0,25.762,-2.145,-0.565,0.0,0.0,0.0,2.29,0.0,0.08199999999999999,1275.516,0.378,0.0,0.722,0.073,0.0,2.338,22.629,0.0,0.064,0.006999999999999999,0.0,0.208,2.011
1025,CUB,Cuba,2008,11237000,71330684928.0,27.747,7.706,1.985,0.0,0.0,0.0,2.469,0.0,0.087,1303.263,0.389,0.0,0.6779999999999999,0.092,0.0,2.228,24.75,0.0,0.06,0.008,0.0,0.198,2.2030000000000003
1026,CUB,Cuba,2009,11227000,72919760896.0,28.016,0.969,0.269,0.0,0.0,0.0,2.495,0.0,0.08900000000000001,1331.279,0.384,0.0,0.642,0.08800000000000001,0.0,2.217,25.069000000000006,0.0,0.057,0.008,0.0,0.197,2.233
1027,CUB,Cuba,2010,11226000,75421614080.0,33.915,21.054,5.899,0.0,0.0,0.0,3.0210000000000004,0.0,0.102,1365.194,0.45,0.0,0.642,0.077,0.0,2.059,31.136,0.0,0.057,0.006999999999999999,0.0,0.183,2.774
1028,CUB,Cuba,2011,11237000,78036992000.0,29.169,-13.992,-4.745,0.0,0.0,0.0,2.596,0.0,0.085,1394.3629999999996,0.374,0.0,0.6779999999999999,0.011,0.0,1.957,26.523000000000003,0.0,0.06,0.001,0.0,0.174,2.36
1029,CUB,Cuba,2012,11257000,80388153344.0,29.522,1.21,0.353,0.0,0.0,0.0,2.623,0.0,0.085,1423.885,0.3670000000000001,0.0,0.708,0.015,0.0,1.986,26.813,0.0,0.063,0.001,0.0,0.17600000000000002,2.382
1044,CYP,Cyprus,2007,1064000,23958491136.0,8.539,3.84,0.316,10.79,2.251,26.363000000000003,8.025,10.141,0.027000000000000003,196.501,0.35600000000000004,0.45,0.812,0.119,0.0,0.001,7.521,0.086,0.764,0.111,0.0,0.001,7.069
1045,CYP,Cyprus,2008,1082000,26921664512.0,8.707,1.971,0.168,12.243,3.536,40.605,8.047,11.315,0.027000000000000003,205.208,0.32299999999999995,0.455,0.818,0.111,0.0,0.001,7.695,0.083,0.7559999999999999,0.102,0.0,0.001,7.112
1046,CYP,Cyprus,2009,1098000,28517449728.0,8.454,-2.911,-0.253,13.087,4.633,54.803,7.699,11.919,0.027000000000000003,213.662,0.29600000000000004,0.459,0.6729999999999999,0.059,0.0,0.001,7.667000000000002,0.054000000000000006,0.613,0.054000000000000006,0.0,0.001,6.983
1047,CYP,Cyprus,2010,1113000,28750800896.0,8.089,-4.315,-0.365,13.341,5.252000000000002,64.93,7.268,11.987,0.024,221.751,0.281,0.464,0.555,0.071,0.0,0.001,7.427,0.035,0.499,0.064,0.0,0.001,6.672999999999999
1048,CYP,Cyprus,2011,1125000,27271999488.0,7.758999999999999,-4.074,-0.33,11.738,3.978,51.27,6.897,10.434,0.023,229.51,0.285,0.43,0.546,0.031,0.0,0.001,7.1560000000000015,0.026,0.485,0.027000000000000003,0.0,0.001,6.3610000000000015
1049,CYP,Cyprus,2012,1135000,27581609984.0,7.235,-6.76,-0.525,9.641,2.406,33.254,6.374,8.494,0.021,236.745,0.262,0.35,0.505,0.001,0.0,0.001,6.705,0.023,0.445,0.001,0.0,0.0,5.908
1064,CZE,Czechia,2007,10358000,274000000000.0,128.264,1.435,1.815,0.0,0.0,0.0,12.383,0.0,0.41,10570.268999999998,0.468,0.0,2.043,83.596,0.303,17.384,23.073,1.864,0.197,8.071,0.029,1.6780000000000002,2.228
1065,CZE,Czechia,2008,10425000,268000000000.0,122.941,-4.15,-5.323,0.0,0.0,0.0,11.793,0.0,0.385,10693.211,0.459,0.0,1.996,78.643,0.298,17.218,23.011,1.774,0.191,7.544,0.029,1.652,2.207
1066,CZE,Czechia,2009,10488000,269000000000.0,115.194,-6.3020000000000005,-7.747999999999998,0.0,0.0,0.0,10.983,0.0,0.366,10808.404,0.428,0.0,1.5659999999999998,73.361,0.259,16.253,22.181,1.574,0.149,6.995,0.025,1.55,2.115
1067,CZE,Czechia,2010,10537000,268000000000.0,117.501,2.003,2.307,0.0,0.0,0.0,11.151,0.0,0.355,10925.905,0.438,0.0,1.469,74.616,0.267,18.349,21.159,1.641,0.139,7.081,0.025,1.741,2.008
1068,CZE,Czechia,2011,10567000,280000000000.0,115.06,-2.077,-2.44,0.0,0.0,0.0,10.889,0.0,0.336,11040.965,0.411,0.0,1.665,73.702,0.262,16.729,20.929,1.773,0.158,6.975,0.025,1.5830000000000002,1.981
1069,CZE,Czechia,2012,10581000,282000000000.0,110.955,-3.568,-4.105,0.0,0.0,0.0,10.486,0.0,0.319,11151.921,0.393,0.0,1.517,70.45100000000002,0.266,16.554000000000002,20.476,1.692,0.14300000000000002,6.658,0.025,1.564,1.935
1084,COD,Democratic Republic of Congo,2007,58454000,37419855872.0,1.696,9.202,0.14300000000000002,0.0,0.0,0.0,0.029,0.0,0.005,159.531,0.045,0.0,0.205,0.0,0.0,0.044,1.4469999999999998,0.0,0.004,0.0,0.0,0.001,0.025
1085,COD,Democratic Republic of Congo,2008,60411000,40135294976.0,1.811,6.7570000000000014,0.115,0.0,0.0,0.0,0.03,0.0,0.006,161.342,0.045,0.0,0.158,0.0,0.0,0.044,1.608,0.0,0.003,0.0,0.0,0.001,0.027000000000000003
1086,COD,Democratic Republic of Congo,2009,62449000,41719140352.0,1.695,-6.381,-0.116,0.0,0.0,0.0,0.027000000000000003,0.0,0.005,163.037,0.041,0.0,0.17800000000000002,0.0,0.0,0.044,1.473,0.0,0.003,0.0,0.0,0.001,0.024
1087,COD,Democratic Republic of Congo,2010,64564000,45073903616.0,1.963,15.81,0.268,0.0,0.0,0.0,0.03,0.0,0.006,165.0,0.044,0.0,0.19,0.0,0.0,0.044,1.729,0.0,0.003,0.0,0.0,0.001,0.027000000000000003
1088,COD,Democratic Republic of Congo,2011,66755000,48707162112.0,2.439,24.214,0.475,0.0,0.0,0.0,0.037000000000000005,0.0,0.006999999999999999,167.43900000000005,0.05,0.0,0.174,0.0,0.0,0.044,2.22,0.0,0.003,0.0,0.0,0.001,0.033
1089,COD,Democratic Republic of Congo,2012,69021000,52116840448.0,2.356,-3.398,-0.083,0.0,0.0,0.0,0.034,0.0,0.006999999999999999,169.795,0.045,0.0,0.157,0.0,0.0,0.0,2.198,0.0,0.002,0.0,0.0,0.0,0.032
1104,DNK,Denmark,2007,5470000,222000000000.0,54.643,-8.035,-4.774,69.527,14.884,27.239,9.99,12.711,0.175,3571.055,0.246,0.313,1.4069999999999998,18.42,0.544,9.738,24.105,0.429,0.257,3.367,0.099,1.78,4.407
1105,DNK,Denmark,2008,5498000,228000000000.0,51.223,-6.257999999999999,-3.42,66.965,15.742,30.733,9.317,12.18,0.16,3622.278,0.225,0.294,1.155,16.137,0.387,9.846,23.265,0.433,0.21,2.935,0.07,1.791,4.231
1106,DNK,Denmark,2009,5526000,224000000000.0,48.82100000000001,-4.69,-2.402,61.842,13.021,26.671,8.835,11.191,0.155,3671.098,0.218,0.276,0.764,15.786,0.261,9.434,22.247,0.328,0.138,2.857,0.047,1.707,4.026
1107,DNK,Denmark,2010,5555000,236000000000.0,49.152,0.679,0.332,62.423,13.27,26.998,8.847999999999997,11.237,0.14800000000000002,3720.251,0.208,0.265,0.672,15.351,0.353,10.569,21.899,0.307,0.121,2.764,0.064,1.903,3.942
1108,DNK,Denmark,2011,5583000,243000000000.0,44.197,-10.081,-4.955,60.874,16.677,37.732,7.916,10.903,0.129,3764.448,0.182,0.251,0.862,12.916,0.252,8.982999999999997,20.868,0.316,0.154,2.313,0.045,1.609,3.738
1109,DNK,Denmark,2012,5611000,244000000000.0,39.824,-9.896,-4.374,55.131,15.307,38.438,7.097,9.826,0.115,3804.272,0.163,0.226,0.871,10.079,0.217,8.414,19.909,0.333,0.155,1.796,0.039,1.5,3.548
1124,DJI,Djibouti,2007,805000,1941811968.0,0.462,12.5,0.051,0.0,0.0,0.0,0.573,0.0,0.001,13.337,0.238,0.0,0.0,0.0,0.0,0.0,0.462,0.0,0.0,0.0,0.0,0.0,0.573
1125,DJI,Djibouti,2008,816000,2114946944.0,0.498,7.937,0.037000000000000005,0.0,0.0,0.0,0.611,0.0,0.002,13.835,0.236,0.0,0.0,0.0,0.0,0.0,0.498,0.0,0.0,0.0,0.0,0.0,0.611
1126,DJI,Djibouti,2009,828000,1948800000.0,0.458,-8.088,-0.04,0.0,0.0,0.0,0.5529999999999999,0.0,0.001,14.293,0.235,0.0,0.0,0.0,0.0,0.0,0.458,0.0,0.0,0.0,0.0,0.0,0.5529999999999999
1127,DJI,Djibouti,2010,840000,1924376960.0,0.517,12.8,0.059,0.0,0.0,0.0,0.615,0.0,0.002,14.81,0.268,0.0,0.0,0.0,0.0,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.615
1128,DJI,Djibouti,2011,854000,1960630016.0,0.473,-8.511000000000001,-0.044,0.0,0.0,0.0,0.5529999999999999,0.0,0.001,15.283,0.241,0.0,0.0,0.0,0.0,0.0,0.473,0.0,0.0,0.0,0.0,0.0,0.5529999999999999
1129,DJI,Djibouti,2012,868000,2095218048.0,0.48,1.55,0.006999999999999999,0.0,0.0,0.0,0.5529999999999999,0.0,0.001,15.763,0.229,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.5529999999999999
1144,DMA,Dominica,2007,71000,595728000.0,0.183,28.205,0.04,0.0,0.0,0.0,2.58,0.0,0.001,2.6710000000000003,0.308,0.0,0.0,0.0,0.0,0.0,0.183,0.0,0.0,0.0,0.0,0.0,2.58
1145,DMA,Dominica,2008,71000,677075008.0,0.165,-10.0,-0.018000000000000002,0.0,0.0,0.0,2.322,0.0,0.001,2.8360000000000003,0.244,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.0,0.0,0.0,0.0,2.322
1146,DMA,Dominica,2009,71000,617433984.0,0.161,-2.222,-0.004,0.0,0.0,0.0,2.271,0.0,0.001,2.997,0.261,0.0,0.0,0.0,0.0,0.0,0.161,0.0,0.0,0.0,0.0,0.0,2.271
1147,DMA,Dominica,2010,71000,694011008.0,0.172,6.818,0.011,0.0,0.0,0.0,2.425,0.0,0.001,3.169,0.248,0.0,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.0,0.0,0.0,2.425
1148,DMA,Dominica,2011,71000,652912000.0,0.154,-10.638,-0.018000000000000002,0.0,0.0,0.0,2.167,0.0,0.0,3.323,0.236,0.0,0.0,0.0,0.0,0.0,0.154,0.0,0.0,0.0,0.0,0.0,2.167
1149,DMA,Dominica,2012,71000,674446976.0,0.165,7.143,0.011,0.0,0.0,0.0,2.322,0.0,0.0,3.488,0.244,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.0,0.0,0.0,0.0,2.322
1164,DOM,Dominican Republic,2007,9339000,95965347840.0,19.95,4.525,0.8640000000000001,23.914,3.963,19.865,2.136,2.5610000000000004,0.064,455.627,0.208,0.249,1.645,1.931,0.0,1.004,15.37,0.0,0.17600000000000002,0.207,0.0,0.107,1.646
1165,DOM,Dominican Republic,2008,9458000,97710768128.0,20.269,1.597,0.319,25.4,5.131,25.313,2.143,2.6860000000000004,0.063,475.896,0.207,0.26,1.671,2.11,0.0,0.927,15.561,0.0,0.177,0.223,0.0,0.098,1.645
1166,DOM,Dominican Republic,2009,9577000,104000000000.0,19.814,-2.247,-0.455,23.385,3.571,18.022,2.069,2.442,0.063,495.71,0.191,0.225,1.523,2.063,0.0,0.993,15.235,0.0,0.159,0.215,0.0,0.104,1.591
1167,DOM,Dominican Republic,2010,9695000,113000000000.0,20.574,3.84,0.7609999999999999,24.596,4.021,19.545,2.122,2.537,0.062,516.284,0.182,0.218,1.6130000000000002,1.85,0.0,1.495,15.616,0.0,0.166,0.191,0.0,0.154,1.611
1168,DOM,Dominican Republic,2011,9813000,116000000000.0,21.319000000000006,3.62,0.745,25.247,3.928,18.423,2.173,2.573,0.062,537.6030000000002,0.184,0.218,1.5630000000000002,2.514,0.0,1.6780000000000002,15.564,0.0,0.159,0.256,0.0,0.171,1.586
1169,DOM,Dominican Republic,2012,9931000,120000000000.0,21.494,0.818,0.174,26.485,4.9910000000000005,23.22,2.164,2.667,0.062,559.097,0.179,0.221,1.606,1.986,0.0,1.99,15.913,0.0,0.162,0.2,0.0,0.2,1.602
1184,notfound,EU-27,2007,0,0.0,3716.531,-1.025,-38.471,0.0,0.0,0.0,8.511000000000001,0.0,11.876,248487.372,0.259,0.0,103.488,1236.623,22.736,823.437,1484.849,45.398,0.237,2.832,0.052000000000000005,1.886,3.4
1185,notfound,EU-27,2008,0,0.0,3630.984,-2.302,-85.546,0.0,0.0,0.0,8.296,0.0,11.366,252118.35600000003,0.249,0.0,96.444,1148.282,22.534,846.9739999999998,1473.183,43.56800000000001,0.22,2.624,0.051,1.935,3.366
1186,notfound,EU-27,2009,0,0.0,3340.521,-8.0,-290.464,0.0,0.0,0.0,7.617000000000001,0.0,10.617,255458.877,0.234,0.0,78.91,1015.149,20.604,793.123,1397.365,35.369,0.18,2.315,0.047,1.808,3.1860000000000004
1187,notfound,EU-27,2010,0,0.0,3442.038,3.039,101.517,0.0,0.0,0.0,7.832999999999998,0.0,10.389,258900.914,0.236,0.0,77.303,1069.078,21.2,855.752,1380.888,37.816,0.17600000000000002,2.4330000000000003,0.048,1.947,3.143
1188,notfound,EU-27,2011,0,0.0,3336.5170000000007,-3.0660000000000003,-105.52,0.0,0.0,0.0,7.58,0.0,9.753,262237.432,0.224,0.0,76.02600000000002,1088.354,21.707,787.33,1323.525,39.576,0.173,2.472,0.049,1.789,3.007
1189,notfound,EU-27,2012,0,0.0,3260.934,-2.265,-75.583,0.0,0.0,0.0,7.397,0.0,9.381,265498.36600000004,0.217,0.0,71.684,1085.197,21.648000000000003,768.5989999999998,1276.377,37.43,0.163,2.461,0.049,1.743,2.895
1204,notfound,EU-28,2007,0,0.0,4275.779,-1.082,-46.75,0.0,0.0,0.0,8.584,0.0,13.663,320937.679,0.256,0.0,109.605,1387.245,28.066,1019.104,1682.046,49.713,0.22,2.785,0.056,2.046,3.377
1205,notfound,EU-28,2008,0,0.0,4175.7959999999985,-2.338,-99.983,0.0,0.0,0.0,8.355,0.0,13.071,325113.475,0.247,0.0,101.649,1287.336,27.161,1048.573,1663.405,47.674,0.203,2.576,0.054000000000000006,2.0980000000000003,3.3280000000000003
1206,notfound,EU-28,2009,0,0.0,3834.815,-8.166,-340.981,0.0,0.0,0.0,7.648,0.0,12.188,328948.29,0.232,0.0,82.631,1129.217,25.425,979.936,1578.989,38.617,0.165,2.252,0.051,1.954,3.149
1207,notfound,EU-28,2010,0,0.0,3954.061,3.11,119.246,0.0,0.0,0.0,7.862999999999999,0.0,11.934,332902.351,0.236,0.0,81.095,1187.117,25.895,1056.782,1561.953,41.22,0.161,2.361,0.051,2.101,3.1060000000000003
1208,notfound,EU-28,2011,0,0.0,3806.321,-3.736,-147.74,0.0,0.0,0.0,7.548999999999999,0.0,11.126,336708.672,0.222,0.0,80.123,1205.445,26.103,954.832,1496.698,43.12,0.159,2.391,0.052000000000000005,1.894,2.968
1209,notfound,EU-28,2012,0,0.0,3748.73,-1.513,-57.591,0.0,0.0,0.0,7.417000000000002,0.0,10.785,340457.403,0.21600000000000005,0.0,75.408,1233.214,25.368,926.248,1447.605,40.887,0.149,2.44,0.05,1.833,2.864
1224,ECU,Ecuador,2007,14297000,114000000000.0,33.685,16.579,4.79,38.17,4.485,13.314,2.356,2.67,0.108,718.55,0.295,0.335,1.834,0.0,1.517,1.022,29.312,0.0,0.128,0.0,0.106,0.07200000000000001,2.05
1225,ECU,Ecuador,2008,14536000,126000000000.0,29.573,-12.207,-4.112,34.931,5.358,18.117,2.0340000000000003,2.403,0.093,748.123,0.235,0.277,2.222,0.0,1.506,0.931,24.915,0.0,0.153,0.0,0.104,0.064,1.714
1226,ECU,Ecuador,2009,14774000,124000000000.0,32.503,9.906,2.93,37.452,4.95,15.229,2.2,2.535,0.103,780.625,0.262,0.302,2.11,0.0,1.319,1.099,27.975,0.0,0.14300000000000002,0.0,0.08900000000000001,0.07400000000000001,1.894
1227,ECU,Ecuador,2010,15011000,135000000000.0,34.825,7.146,2.323,42.24,7.414,21.29,2.32,2.814,0.105,815.451,0.258,0.313,2.087,0.0,1.246,1.158,30.335,0.0,0.139,0.0,0.083,0.077,2.021
1228,ECU,Ecuador,2011,15244000,150000000000.0,37.398,7.387,2.573,44.856,7.457999999999998,19.944000000000006,2.4530000000000003,2.943,0.109,852.8489999999998,0.249,0.299,2.238,0.0,1.235,1.048,32.876999999999995,0.0,0.147,0.0,0.081,0.069,2.157
1229,ECU,Ecuador,2012,15474000,157000000000.0,37.153,-0.6559999999999999,-0.245,45.695,8.542,22.993,2.401,2.9530000000000003,0.107,890.0010000000002,0.237,0.29100000000000004,2.352,0.0,1.249,1.4,32.152,0.0,0.152,0.0,0.081,0.09,2.0780000000000003
1244,EGY,Egypt,2007,78232000,552000000000.0,185.905,5.6160000000000005,9.886,170.019,-15.886,-8.545,2.376,2.173,0.594,3494.396,0.337,0.308,17.097,2.917,0.0,81.128,84.76299999999998,0.0,0.219,0.037000000000000005,0.0,1.037,1.083
1245,EGY,Egypt,2008,79636000,653000000000.0,195.285,5.046,9.38,183.21400000000003,-12.071,-6.181,2.452,2.301,0.611,3689.681,0.299,0.281,16.715999999999998,2.854,0.0,83.31,92.404,0.0,0.21,0.036000000000000004,0.0,1.046,1.16
1246,EGY,Egypt,2009,81135000,685000000000.0,202.71,3.802,7.423999999999999,197.646,-5.064,-2.498,2.498,2.436,0.644,3892.391,0.29600000000000004,0.289,19.513,2.689,0.0,81.788,98.719,0.0,0.241,0.033,0.0,1.008,1.217
1247,EGY,Egypt,2010,82761000,800000000000.0,198.808,-1.925,-3.902,200.513,1.706,0.858,2.402,2.423,0.6,4091.198,0.249,0.251,18.48,4.126,0.0,81.948,94.255,0.0,0.223,0.05,0.0,0.99,1.139
1248,EGY,Egypt,2011,84529000,919000000000.0,211.037,6.152,12.23,210.269,-0.769,-0.364,2.497,2.488,0.617,4302.236,0.23,0.229,18.109,1.7,0.0,92.679,98.549,0.0,0.214,0.02,0.0,1.096,1.166
1249,EGY,Egypt,2012,86422000,943000000000.0,210.355,-0.32299999999999995,-0.6829999999999999,222.172,11.817,5.6179999999999986,2.434,2.571,0.605,4512.5909999999985,0.223,0.236,22.608,1.803,0.0,92.919,93.025,0.0,0.262,0.021,0.0,1.075,1.0759999999999998
1264,SLV,El Salvador,2007,6106000,43100311552.0,6.846,1.92,0.129,9.444,2.5980000000000003,37.945,1.121,1.547,0.022,148.936,0.159,0.219,0.522,0.0,0.0,0.0,6.324,0.0,0.085,0.0,0.0,0.0,1.036
1265,SLV,El Salvador,2008,6132000,43939897344.0,6.405,-6.44,-0.441,9.346,2.9410000000000003,45.919,1.045,1.524,0.02,155.341,0.146,0.213,0.517,0.0,0.0,0.0,5.888,0.0,0.084,0.0,0.0,0.0,0.96
1266,SLV,El Salvador,2009,6158000,42017976320.0,6.313,-1.442,-0.092,8.182,1.87,29.617,1.025,1.329,0.02,161.654,0.15,0.195,0.48,0.0,0.0,0.0,5.832999999999998,0.0,0.078,0.0,0.0,0.0,0.947
1267,SLV,El Salvador,2010,6184000,43937521664.0,6.317,0.07,0.004,8.448,2.13,33.726,1.022,1.366,0.019,167.97099999999998,0.14400000000000002,0.192,0.506,0.0,0.0,0.0,5.811,0.0,0.08199999999999999,0.0,0.0,0.0,0.94
1268,SLV,El Salvador,2011,6211000,46189703168.0,6.5,2.904,0.183,9.135,2.634,40.524,1.047,1.471,0.019,174.47099999999998,0.141,0.198,0.517,0.0,0.0,0.0,5.983,0.0,0.083,0.0,0.0,0.0,0.963
1269,SLV,El Salvador,2012,6238000,47400161280.0,6.4689999999999985,-0.483,-0.031,8.754,2.285,35.316,1.037,1.403,0.019,180.941,0.136,0.185,0.537,0.0,0.0,0.0,5.932,0.0,0.086,0.0,0.0,0.0,0.951
1284,GNQ,Equatorial Guinea,2007,822000,24137400320.0,5.627999999999999,-19.158,-1.334,0.0,0.0,0.0,6.847,0.0,0.018000000000000002,48.87,0.233,0.0,0.0,0.0,0.986,3.408,1.235,0.0,0.0,0.0,1.199,4.145,1.5019999999999998
1285,GNQ,Equatorial Guinea,2008,861000,28732088320.0,7.017,24.674,1.389,0.0,0.0,0.0,8.149,0.0,0.022,55.887,0.244,0.0,0.0,0.0,1.037,4.727,1.253,0.0,0.0,0.0,1.204,5.49,1.455
1286,GNQ,Equatorial Guinea,2009,902000,29462984704.0,6.752999999999999,-3.76,-0.264,0.0,0.0,0.0,7.4860000000000015,0.0,0.021,62.64,0.229,0.0,0.0,0.0,1.037,4.499,1.216,0.0,0.0,0.0,1.15,4.988,1.349
1287,GNQ,Equatorial Guinea,2010,944000,27185108992.0,6.8660000000000005,1.682,0.114,0.0,0.0,0.0,7.274,0.0,0.021,69.506,0.253,0.0,0.0,0.0,1.036,4.603,1.227,0.0,0.0,0.0,1.098,4.876,1.3
