record_no,iso_code,geo_reg,year,population,gdp,co2,co2_growth_prct,co2_growth_abs,consumption_co2,trade_co2,trade_co2_share,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita
132,AIA,Anguilla,2012,14000,0.0,0.14300000000000002,0.0,0.0,0.0,0.0,0.0,10.207,0.0,0.0,2.3080000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.14300000000000002,0.0,0.0,0.0,0.0,0.0,10.207
147,ATG,Antigua and Barbuda,2007,84000,0.0,0.407,5.714,0.022,0.0,0.0,0.0,4.842,0.0,0.001,15.51,0.0,0.0,0.0,0.0,0.0,0.0,0.407,0.0,0.0,0.0,0.0,0.0,4.842
148,ATG,Antigua and Barbuda,2008,85000,0.0,0.418,2.7030000000000003,0.011,0.0,0.0,0.0,4.914,0.0,0.001,15.927,0.0,0.0,0.0,0.0,0.0,0.0,0.418,0.0,0.0,0.0,0.0,0.0,4.914
149,ATG,Antigua and Barbuda,2009,87000,0.0,0.443,6.14,0.026,0.0,0.0,0.0,5.096,0.0,0.001,16.371,0.0,0.0,0.0,0.0,0.0,0.0,0.443,0.0,0.0,0.0,0.0,0.0,5.096
150,ATG,Antigua and Barbuda,2010,88000,0.0,0.454,2.479,0.011,0.0,0.0,0.0,5.1629999999999985,0.0,0.001,16.825,0.0,0.0,0.0,0.0,0.0,0.0,0.454,0.0,0.0,0.0,0.0,0.0,5.1629999999999985
151,ATG,Antigua and Barbuda,2011,89000,0.0,0.443,-2.419,-0.011,0.0,0.0,0.0,4.981,0.0,0.001,17.268,0.0,0.0,0.0,0.0,0.0,0.0,0.443,0.0,0.0,0.0,0.0,0.0,4.981
152,ATG,Antigua and Barbuda,2012,90000,0.0,0.458,3.306,0.015,0.0,0.0,0.0,5.089,0.0,0.001,17.726,0.0,0.0,0.0,0.0,0.0,0.0,0.458,0.0,0.0,0.0,0.0,0.0,5.089
167,ARG,Argentina,2007,39684000,694000000000.0,174.24599999999995,-0.208,-0.363,155.085,-19.16,-10.996,4.391,3.908,0.557,6039.826,0.251,0.223,3.998,3.66,1.4580000000000002,87.178,77.952,0.0,0.101,0.092,0.037000000000000005,2.197,1.964
168,ARG,Argentina,2008,40080000,741000000000.0,188.106,7.954,13.86,170.17700000000005,-17.929000000000006,-9.532,4.6930000000000005,4.246,0.589,6227.932,0.254,0.23,3.99,3.877,1.462,90.12,88.65799999999999,0.0,0.1,0.097,0.036000000000000004,2.248,2.212
169,ARG,Argentina,2009,40483000,692000000000.0,178.949,-4.868,-9.157,160.037,-18.913,-10.569,4.42,3.953,0.569,6406.8809999999985,0.259,0.231,3.81,3.232,1.5319999999999998,87.995,82.381,0.0,0.094,0.08,0.038,2.174,2.035
170,ARG,Argentina,2010,40896000,772000000000.0,186.733,4.35,7.784,174.548,-12.185,-6.525,4.566,4.268,0.564,6593.614000000001,0.242,0.226,4.178,3.99,1.491,86.928,90.145,0.0,0.102,0.098,0.036000000000000004,2.126,2.204
171,ARG,Argentina,2011,41320000,836000000000.0,190.274,1.896,3.5410000000000004,182.577,-7.697,-4.045,4.605,4.419,0.556,6783.888000000001,0.228,0.218,4.586,4.723,1.469,92.587,86.90799999999999,0.0,0.111,0.114,0.036000000000000004,2.241,2.103
172,ARG,Argentina,2012,41755000,838000000000.0,191.715,0.757,1.4409999999999998,188.108,-3.607,-1.881,4.591,4.505,0.552,6975.603,0.229,0.224,4.184,5.009,1.554,95.381,85.587,0.0,0.1,0.12,0.037000000000000005,2.2840000000000003,2.05
187,ARM,Armenia,2007,2933000,19888445440.0,5.1,15.872,0.6990000000000001,7.415,2.315,45.394,1.739,2.528,0.016,622.7869999999998,0.256,0.373,0.407,0.006999999999999999,0.0,3.762,0.924,0.0,0.139,0.003,0.0,1.283,0.315
188,ARM,Armenia,2008,2908000,21660479488.0,5.575,9.305,0.475,6.672999999999999,1.098,19.695,1.917,2.295,0.017,628.362,0.257,0.308,0.412,0.006999999999999999,0.0,4.122,1.033,0.0,0.142,0.003,0.0,1.4169999999999998,0.355
189,ARM,Armenia,2009,2888000,20310546432.0,4.363,-21.731,-1.211,5.8279999999999985,1.465,33.567,1.511,2.018,0.014,632.725,0.215,0.287,0.241,0.0,0.0,3.169,0.953,0.0,0.084,0.0,0.0,1.097,0.33
190,ARM,Armenia,2010,2877000,22459838464.0,4.253,-2.5340000000000003,-0.111,5.47,1.217,28.621,1.4780000000000002,1.901,0.013,636.9780000000002,0.189,0.244,0.28800000000000003,0.004,0.0,2.9530000000000003,1.008,0.0,0.1,0.001,0.0,1.026,0.35
191,ARM,Armenia,2011,2877000,24861704192.0,4.9689999999999985,16.839000000000002,0.716,5.707000000000002,0.738,14.848,1.727,1.984,0.015,641.947,0.2,0.23,0.264,0.006999999999999999,0.0,3.756,0.942,0.0,0.092,0.003,0.0,1.305,0.327
192,ARM,Armenia,2012,2884000,25898418176.0,5.747999999999998,15.685,0.779,6.313,0.565,9.832,1.993,2.189,0.017,647.695,0.222,0.244,0.278,0.006999999999999999,0.0,4.565,0.898,0.0,0.096,0.003,0.0,1.5830000000000002,0.311
207,ABW,Aruba,2007,101000,0.0,2.821,3.914,0.106,0.0,0.0,0.0,27.933000000000003,0.0,0.009000000000000001,57.403,0.0,0.0,0.0,0.0,0.0,0.0,2.821,0.0,0.0,0.0,0.0,0.0,27.933000000000003
